rowid,kepid,is_exoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3798,5471574,0,12.4246697,134.0396,1.9583,44.07,424,168.91,1099,344.8,116.9,3,q1_q17_dr24_tce,6550,4.094,1.59,297.68881,40.643661,13.398
3799,5512580,0,383.00806,281.6723,0.0358,9.71,632.1,2.2,235,0.72,7.6,,,5750,4.538,0.882,283.72955,40.789028,15.371
3800,11670599,0,0.847588864,131.55971,0.507,2.246,67.1,0.91,2144,5000.82,21.3,1,q1_q17_dr25_tce,6335,4.427,1.072,296.12457,49.726669,14.263
3801,6359820,0,331.81534,347.0408,0.1599,10.56,370.3,1.84,267,1.2,7.8,,,6029,4.494,0.956,290.35706,41.76162,15.027
3802,11872139,0,1.75649346,132.01087,0.242,3.429,27.5,1.62,2745,13425.76,13.3,1,q1_q17_dr25_tce,6619,3.718,3.05,295.77768,50.149025,13.306
3804,2708221,0,1.8912501,132.6923,1.24,7.648,731,23.5,1159,427.26,31.6,1,q1_q17_dr25_tce,4883,4.523,0.794,290.30371,37.924191,16.159
3806,5040223,0,0.996023763,132.16613,1.147,5.412,98.3,18.36,1991,3727.96,21.3,1,q1_q17_dr25_tce,6110,4.387,1.077,298.56668,40.128239,14.705
3807,4571004,0,36.616669,156.001,0.3646,8.62,237.4,1.68,548,21.35,3.4,,,5780,4.438,1,294.20786,39.680115,13.482
3811,7031942,0,0.566795467,131.84,0.504,4.712,38.2,0.67,2254,6076.99,25.8,1,q1_q17_dr25_tce,5642,4.337,1.056,291.25778,42.580139,13.867
3814,5632701,0,3.67515329,131.681,0.73,7.083,56,0.71,1150,414.64,16.7,1,q1_q17_dr25_tce,5968,4.534,0.881,295.42047,40.842659,13.997
3815,10549924,0,0.715825886,132.06428,0.099,1.212,40.6,0.58,1920,3196.46,11,1,q1_q17_dr25_tce,5640,4.486,0.909,297.22046,47.748249,13.467
3816,9366617,1,26.5487294,137.24401,0.21,7.968,142,2.54,836,115.61,15.3,1,q1_q17_dr25_tce,5456,3.802,2.154,299.86182,45.827351,13.961
3818,3353454,0,1.6911935,132.93323,0.903,9.479,2801,6.36,1528,1292.5,26.7,1,q1_q17_dr25_tce,5780,4.438,1,294.25079,38.404236,12.95
3819,10156055,0,2.42803503,133.5931,0.057,3.045,73.8,0.85,1516,1249.87,8.8,1,q1_q17_dr25_tce,6609,4.484,0.974,296.99017,47.130661,14.049
3820,8418018,0,372.94844,217.8357,0.4268,13.879,253.5,1.34,233,0.7,17.1,,,5763,4.559,0.827,286.22708,44.430328,13.962
