"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
2000,11391755,"K02639.02",2.1210238070000003,170.85003999999998,1.0045,0.3673,263.90000000000003,5.75,1573,1446.5,6.4,6133,4.367,1.112,"FALSE POSITIVE",0.043880634053050205,0.9561193659469498
2001,9088780,"K02640.01",33.18089453,136.48201799999998,,15.24,,,,,,,,,"FALSE POSITIVE",0.015950959947817922,0.9840490400521821
2002,8894646,"K02641.01",3.5555792200000003,132.75203,0.269,3.24,60.400000000000006,0.84,1270,615.03,15.5,5839,4.337,1.082,"CONFIRMED",0.7476720317423369,0.2523279682576632
2006,5621586,"K02415.01",5.25419589,133.72952,0.007,2.9878,461.8,2.12,1093,338.15000000000003,26.1,6123,4.472,0.987,"CONFIRMED",0.8645329260949608,0.1354670739050392
2007,9210387,"K02416.01",5.9060890200000005,131.56096,0.025,2.4090000000000003,340.70000000000005,1.77,1012,247.83,9.3,5966,4.493,0.961,"FALSE POSITIVE",0.15041948509681624,0.8495805149031838
2008,11852982,"K00247.01",13.81504449,181.12621,0.868,2.3244000000000002,1032.6000000000001,1.9100000000000001,391,5.5200000000000005,46.7,3732,4.736,0.509,"CONFIRMED",0.92308753026299,0.07691246973701008
2010,2718778,"K02489.01",3.92453009,132.40179,0.112,3.6910000000000003,463.5,1.82,1074,314.25,25.3,5776,4.554,0.849,"CONFIRMED",0.8604721831272745,0.13952781687272556
2011,3122913,"K02490.01",11.60653061,134.41637,0.024,2.194,771.7,1.8800000000000001,584,27.47,17.8,4703,4.582,0.7010000000000001,"CONFIRMED",0.8815578195877362,0.11844218041226384
2022,9654468,"K02417.01",47.7052566,146.3164,0.918,5.9590000000000005,1161.5,2.89,347,3.42,22.8,4551,4.609,0.672,"CONFIRMED",0.8889233865816255,0.11107661341837453
2032,8247770,"K02569.01",8.28157072,136.25775,0.042,3.1,139.20000000000002,1.37,956,197.82,12.9,5640,4.288,1.175,"CONFIRMED",0.8212464667818363,0.17875353321816365
2033,6867588,"K02571.01",0.82628442,132.26993,0.28,0.9603,134.9,0.96,1629,1654.69,25.6,5218,4.548,0.8290000000000001,"FALSE POSITIVE",0.2598239763506871,0.7401760236493129
2034,7501646,"K02572.01",6.37705295,136.91384,0.234,1.949,502.8,2.15,935,180.66,17.900000000000002,5672,4.503,0.965,"CONFIRMED",0.8990628585250312,0.10093714147496881
2040,8838950,"K02421.01",2.27050106,133.54216,0.47300000000000003,1.903,106.7,0.55,903,157.05,15.9,4671,4.721,0.528,"CONFIRMED",0.572261410709094,0.427738589290906
2048,8256453,"K02573.01",1.3475126320000002,132.127858,1.252,1.9817,2651.8,23.45,1346,775.1800000000001,88.7,5316,4.585,0.685,"FALSE POSITIVE",0.012898401770194412,0.9871015982298056
2051,12257999,"K02577.01",18.55581565,132.07104999999999,0.07300000000000001,5.372,565.9,20.830000000000002,1793,2442.2400000000002,33.2,5988,2.982,8.841,"FALSE POSITIVE",0.44579615761101443,0.5542038423889856
2052,6922203,"K02578.01",13.33094869,133.78632,1.199,1.4260000000000002,725.6,25.95,815,104.37,17.1,5991,4.394,1.039,"FALSE POSITIVE",0.04107786395998547,0.9589221360400145
2063,8631504,"K02503.01",14.820059599999999,133.39933,0.059000000000000004,3.902,184.9,0.96,552,21.92,21.900000000000002,4825,4.603,0.732,"CONFIRMED",0.8691025673968189,0.13089743260318115
2064,8110767,"K02504.01",20.49041,144.41979,0.011000000000000001,4.369,661.8000000000001,2.34,625,36.01,23.3,5681,4.524,0.923,"CONFIRMED",0.9297284166366757,0.07027158336332427
2067,8379705,"K02507.01",11.1296971,138.57573,0.5720000000000001,2.942,371.0,1.93,843,119.44,14.700000000000001,6122,4.487,0.964,"CONFIRMED",0.49394162153713883,0.5060583784628612
2068,9896018,"K02579.01",2.7296036,133.28661,0.509,2.721,145.6,1.53,1455,1056.15,18.400000000000002,5887,4.292,1.235,"CONFIRMED",0.5971629790398199,0.4028370209601801
2070,11818872,"K02581.01",12.7372371,136.0162,0.364,3.358,100.80000000000001,0.87,697,55.82,12.9,5420,4.502,0.868,"CONFIRMED",0.7024344832170097,0.29756551678299026
2071,11771430,"K02582.01",40.0306267,148.85881999999998,0.322,4.815,214.5,2.0100000000000002,617,34.19,19.5,5855,4.227,1.373,"CONFIRMED",0.9387760776128493,0.061223922387150714
2088,10387742,"K02583.01",3.03267135,134.0668,0.23800000000000002,1.774,42.400000000000006,0.6,1187,468.31,15.600000000000001,5640,4.492,0.921,"CONFIRMED",0.683477726604593,0.31652227339540695
2092,12156347,"K02588.01",5.7795713300000005,136.53014,0.9460000000000001,2.5213,396.6,1.5,598,30.22,18.900000000000002,4102,4.687,0.581,"CONFIRMED",0.8686774971820679,0.13132250281793206
2093,8636539,"K02656.01",6.77367892,138.07568,0.228,3.579,150.70000000000002,1.33,1083,324.84000000000003,15.100000000000001,6392,4.425,1.072,"CONFIRMED",0.6591363248450771,0.3408636751549229
2094,9283156,"K02657.01",5.2240243600000005,132.85379,0.12000000000000001,2.608,48.1,0.58,941,185.16,15.100000000000001,5487,4.5120000000000005,0.84,"CONFIRMED",0.7229388323400636,0.2770611676599364
2095,8547429,"K02658.01",11.6601667,140.62189,0.9830000000000001,5.882000000000001,181.0,2.08,834,114.36,20.400000000000002,5791,4.381,1.083,"CONFIRMED",0.7748571881963721,0.22514281180362797
2099,5097868,"K02435.01",6.80243431,132.40355,1.0,3.817,249.10000000000002,2.6,895,151.72,14.9,5836,4.561,0.8160000000000001,"FALSE POSITIVE",0.08993541754314083,0.9100645824568592
