"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
7865,8091197,"K06960.01",4.88698386,132.88039999999998,0.661,1.127,125.4,1.2,1133,389.31,10.100000000000001,6152,4.464,1.0090000000000001,"FALSE POSITIVE",0.22622150857001544,0.7737784914299846
7870,8815279,"K07094.01",13.56092626,142.642578,,2.5300000000000002,,,,,,,,,"FALSE POSITIVE",0.0012521360898390412,0.9987478639101609
7876,9726452,"K07226.01",42.48452259,165.1372596,,4.16,,,,,,,,,"FALSE POSITIVE",0.0029615395059809087,0.9970384604940191
7880,9790965,"K07231.02",4.74701479,133.33305,64.5159,2.4640000000000004,3622.0,13333.5,1640,1708.72,10.100000000000001,6531,3.962,1.921,"FALSE POSITIVE",0.024894838705658912,0.9751051612943411
7881,9811915,"K07232.01",1.96682825,132.68632,0.41500000000000004,1.6450000000000002,214.3,1.18,1283,638.54,9.5,5595,4.581,0.796,"FALSE POSITIVE",0.22955326625704767,0.7704467337429524
7882,10665749,"K07359.01",4.237447181,135.17678999999998,0.187,0.37920000000000004,350.1,2.2600000000000002,1172,446.38,11.100000000000001,5993,4.425,0.993,"FALSE POSITIVE",0.4138237695991993,0.5861762304008007
7883,10670112,"K07360.01",4.0953585,135.7884,1.0194,44.35,226.8,7.76,1680,1884.15,60.2,6839,4.094,1.7,"FALSE POSITIVE",0.04074340133368969,0.9592565986663103
7892,5897826,"K00126.02",0.875197345,131.8135915,1.004,0.052000000000000005,0.0,0.73,2518,9497.39,0.0,5855,3.999,1.796,"FALSE POSITIVE",0.02495629522204399,0.975043704777956
7893,3240158,"K01106.03",13.2298203,134.3757,0.435,3.5660000000000003,157.8,1.5,856,126.84,10.0,6049,4.353,1.176,"CONFIRMED",0.5959617688879371,0.40403823111206294
7899,3249334,"K06318.01",5.90260586,136.35506999999998,0.10490000000000001,1.832,337.70000000000005,1.26,759,78.58,8.200000000000001,4960,4.627,0.707,"FALSE POSITIVE",0.3570261059999466,0.6429738940000533
7900,3324069,"K06320.01",22.802650000000003,132.9476,0.1018,19.34,53.1,2.36,1045,281.59000000000003,11.8,5011,3.321,3.3240000000000003,"FALSE POSITIVE",0.2290166666805744,0.7709833333194256
7905,4830859,"K06454.01",27.2173855,144.6728,0.6516000000000001,3.2680000000000002,155.9,1.34,667,46.800000000000004,6.7,6263,4.404,1.0190000000000001,"FALSE POSITIVE",0.14714882620424033,0.8528511737957597
