kepid,kepoi_name,P (Exoplanet) – Logistic Regression,P (Exoplanet) – Random Forest,P (Exoplanet) – Gradient Boosting Machine
6185476,K00227.01,0.72405892,0.8627746494,0.9521447269
4473226,K02229.01,0.7365029897,0.8996170019,0.9250455356
2854181,K02232.01,0.7605722429,0.8652800575,0.9969364615
6062929,K02315.01,0.869372689,0.8134303101,0.982156269
7097965,K02083.01,0.4831305828,0.8462839252,0.9820753745
3967326,K02084.01,0.6043668241,0.9005056139,0.9975240698
5211199,K02158.01,0.294101743,0.2810982893,0.1550151484
8804455,K02159.01,0.5549194982,0.9061095787,0.9845424333
5546761,K02160.02,0.0380595639,0.0011404541,0.0008675194
5005121,K02237.01,0.7985448623,0.9517698536,0.9989163452
9003401,K02319.01,0.8251265876,0.7692997655,0.9312556622
5978559,K02321.01,0.6714294118,0.8618191963,0.9961519743
8872048,K02323.01,0.0141730556,0.0240360695,0.0243518003
7746958,K02324.01,0.2578016584,0.1323383435,0.0001376681
5705819,K02091.01,0.6998685113,0.9515697632,0.9967117199
7120108,K02325.01,0.2376450068,0.3366929886,0.1772288033
11192235,K02329.01,0.5469981462,0.9083998456,0.9992513347
6525946,K02093.01,0.0160909086,0.050754386,0.0046593346
8505920,K02094.01,0.6045651528,0.7638359944,0.8521151444
6041734,K02167.02,0.6922159363,0.3434895087,0.0515425931
9006186,K02169.02,0.4831490327,0.6743083243,0.9687085865
11030475,K02248.01,0.6238582608,0.7024389026,0.9388590054
11030475,K02248.02,0.7453874964,0.1223235269,0.0021172133
11030475,K02248.03,0.2757139617,0.4558214756,0.2105296664
5534941,K02332.01,0.4063467941,0.5966153978,0.4316702058
9307509,K02096.01,0.7441765185,0.9120509439,0.9598780926
9006186,K02169.03,0.4939737805,0.7062660596,0.983096005
9006186,K02169.04,0.3927016345,0.2070683624,0.0010890324
4173026,K02172.01,0.5175613429,0.8951697839,0.9859358088
10471621,K02554.01,0.5929890027,0.1236033587,0.0149623781
10471621,K02554.02,0.872532571,0.7917980592,0.9558086768
11752906,K00253.02,0.8925225389,0.7617282821,0.8361872237
6198182,K02636.01,0.5680564318,0.4670462191,0.2039587969
8676038,K02410.01,0.0017276541,0.0130895027,0.009732347
8676038,K02410.02,0.009858305,0.0287722643,0.0085706069
8073806,K02411.01,0.505148644,0.8697005887,0.9826053248
8074328,K02486.01,0.5146497393,0.4997115763,0.8310940814
6605493,K02559.01,0.6354957479,0.8709433519,0.9849567352
4670217,K02560.01,0.8596337772,0.8451175951,0.9601105342
9574179,K02637.01,0.5441093245,0.8280466739,0.9706296527
6211812,K02638.01,0.6428501654,0.788737967,0.9948495347
11391755,K02639.01,0.7711446327,0.6088984259,0.7844798044
11391755,K02639.02,0.1792037443,0.1191780586,5.92265099632616E-05
9088780,K02640.01,0.0114180456,0.0133846826,0.0012997235
8894646,K02641.01,0.5407984387,0.7472846812,0.9880377558
