rowid,kepid,kepoi_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
575,10118816,K01085.01,7.71790675,139.15725,0.112,1.84,306.8,0.9,502,15.01,12.6,3975,4.753,0.509
581,10295951,K01154.01,6.810823723,136.04667,0.57,7.98574,14447,26.06,1626,1656.16,1441.9,7226,3.967,2.079
597,3247268,K01089.02,12.21828097,140.321095,0.778,2.6969,1843.4,5.1,835,114.59,90.1,5822,4.351,1.081
603,10354039,K01159.01,64.617518,166.14425,0.9,5.796,2486.6,5.4,383,5.09,61.9,5043,4.47,0.881
613,2164169,K01029.01,32.3122867,133.867,0.934,6.569,677.8,4.84,699,56.49,33.6,5821,4.108,1.494
614,2574338,K01030.01,9.22961384,138.43961,0.067,2.235,492.1,2.79,1021,257.11,19.3,6320,4.347,1.252
619,3329204,K01095.01,51.59809554,203.979914,0.251,2.0153,5869.2,6.57,449,9.61,79.7,5681,4.551,0.859
620,3230491,K01096.01,1500,315.33083,0.9243,7.109,9592,9.8,139,0.09,62.5,5606,4.597,0.76
630,1026957,K00958.01,21.76129812,166.540438,0.123,1.243,1300.7,2.53,486,13.18,60,4859,4.612,0.72
631,10002261,K00959.01,12.713794177,175.0725677,0.485,2.44093,36719,2.31,181,0.26,2981.3,2661,5.283,0.116
633,2162635,K01032.01,1500.1406772,176.08226,0.9131,25.727,4129.9,18.35,206,0.42,83.3,5009,3.755,2.283
646,10337517,K01165.01,7.053934488,136.357253,0.899,1.7244,511.5,2.36,840,117.33,56.3,5357,4.498,0.863
648,10351231,K01166.01,7.6746614,133.22431,0.939,1.9374,503,2.8,957,198.67,20.8,6063,4.47,1.001
662,7102227,K01360.03,0.764017553,132.2214,0.442,1.103,128.2,0.86,1589,1503.79,13.2,5142,4.602,0.755
664,6837146,K01362.01,20.51360192,357.49424,0.703,3.4769,1174.1,2.58,540,20.15,32.3,5310,4.608,0.704
666,11122894,K01426.03,150.0189511,224.685714,1.252,4.3823,4319.7,32.6,325,2.62,106.2,5618,4.46,0.897
669,11030711,K01429.01,205.912735,252.74129,0.196,9.992,2378.8,4.68,298,1.85,49.4,5644,4.457,0.969
671,6607286,K01239.01,0.783276173,355.94865,0.041,1.6735,264.7,1.98,2149,5056.88,46.9,5640,4.247,1.233
672,6607286,K01239.02,3.17405898,357.05776,0.422,2.3156,282.2,2.09,1348,780.46,29.2,5640,4.247,1.233
690,11075279,K01431.01,345.1589354,318.307719,0.87,7.5646,5087.9,7.79,241,0.8,197.9,5597,4.515,0.931
692,6607447,K01242.01,99.6442783,283.236289,0.966,5.1772,3215.6,8.48,415,6.98,163.2,6102,4.447,1.016
712,6441738,K01246.01,19.03723442,148.55057,0.033,3.3882,401.3,5.74,1051,288.04,25.3,5248,3.523,2.892
720,10713616,K01311.01,83.5781976,202.45865,0.544,7.2487,630.8,6.63,655,43.62,54.9,6056,3.788,2.562
736,8454250,K01254.01,5.082722475,137.26075,0.019,5.9139,1974.1,4.4,1059,296.94,95.5,5780,4.438,1
740,10928043,K01315.01,6.84639884,133.76181,0.9,3.4919,149.7,1.9,1132,387.84,36.3,6065,4.251,1.31
741,10794087,K01316.01,7.64970832,138.33113,0.898,6.625,55.4,1.43,1144,404.99,28.5,5855,4.125,1.613
742,10794087,K01316.02,12.37679312,143.3787176,,3.85,,,,,,,,
745,7287415,K01369.01,3.016182013,133.88395,0.732,2.8349,222.5,2.25,1449,1044.49,31.9,5611,4.144,1.4
752,11599038,K01437.01,7.01733571,133.90592,0.581,3.567,255.5,1.61,984,221.46,15.5,6052,4.456,0.967
759,8630788,K01258.03,148.272013,138.00557,0.883,4.192,1707.4,4.3,321,2.51,21.8,5717,4.538,0.884
766,6766634,K01375.01,321.2124365,206.930556,0.873,4.012,2358.6,7.25,310,2.17,81.7,6018,4.257,1.286
780,8678594,K01261.02,15.19423359,142.73422,0.906,3.106,367.8,3.69,893,150.25,18.1,5588,4.047,1.593
803,8813698,K01268.01,268.9410974,360.070904,0.765,5.4434,9010.2,13.57,321,2.52,120.4,5798,4.224,1.306
807,4274548,K01331.01,6.80082032,359.17999,0.597,1.9883,699.9,1.88,697,55.83,25.5,4805,4.633,0.688
816,11336883,K01445.02,54.325574,142.236,0.154,9.86,44.2,0.76,545,20.85,7.7,6343,4.411,1.137
817,11336883,K01445.03,20.01959599,150.8362184,,7,,,,,,,,
821,9705459,K01448.01,2.48658617,134.110364,0.079,2.7189,42122,24.39,1461,1077.69,91.6,5892,4.35,1.198
825,8631160,K01271.01,162.0479502,278.880573,0.663,9.8974,4840.5,11.52,437,8.65,370.2,6309,4.16,1.567
838,9202151,K01393.01,1.694740233,355.357543,0.671,1.6864,1446.8,2.12,797,95.14,92.3,3764,4.739,0.527
846,8804283,K01276.01,22.79020351,138.68515,0.036,5.0394,617.9,2.57,634,38.27,47.7,5478,4.354,1.053
847,8804283,K01276.02,13.26079792,139.0988,0.22,3.912,199.4,1.47,760,78.79,17.6,5478,4.354,1.053
853,4077526,K01336.04,4.45814897,134.39743,0.754,2.867,188.1,1.61,1212,511.6,14.3,6100,4.376,1.083
855,8935810,K01395.01,6.230335,181.29566,0.808,1.6493,1449.2,3.7,875,138.33,31.6,5477,4.557,0.865
859,9427402,K01397.01,6.247030799,356.90972,0.039,1.4848,1496.6,1.89,512,16.23,44.8,3821,4.764,0.487
861,3962440,K01208.01,700.00298217,249.44205,0.143,7.6525,3245.9,6.43,238,0.76,60.3,6487,4.397,1.118
862,3534076,K01209.01,272.0868353,378.13721,0.3629,2.7145,5572,5.95,251,0.93,21.5,5587,4.548,0.791
874,4466677,K01338.02,42.0370662,178.25006,0.672,6.282,266.8,1.66,527,18.16,14.7,5823,4.427,0.96
875,4466677,K01338.03,21.0112068,132.6336,0.853,4.507,163.6,1.4,663,45.79,10.2,5823,4.427,0.96
877,9269281,K01398.01,5.82348911,354.99602,0.877,2.2441,888.7,3,955,196.33,38.1,5774,4.526,0.864
878,9100484,K01399.01,8.75059775,358.24233,0.33,2.8288,881.9,2.27,682,51,28.3,4942,4.599,0.779
892,8742590,K01281.01,49.4781446,141.82465,0.048,2.493,496.6,1.88,462,10.73,20.4,5776,4.554,0.849
904,9150827,K01408.01,14.53410833,145.42643,0.766,3.3094,510.6,1.36,420,7.34,32.5,3957,4.693,0.553
940,6631721,K00160.01,13.73808249,134.43787,0.957,3.354,660.7,3.84,912,163.52,68.4,6375,4.292,1.178
962,10971674,K01296.01,2.380862632,135.3252117,0.664,4.20416,32634,21.65,1480,1133,2590.6,5821,4.297,1.129
965,7363829,K01356.01,384.02570682,335.816169,,14.56,,,,,,,,
966,6719086,K01357.01,3.014330766,357.37948,0.01,2.4747,975.3,2.87,1124,377.79,57.3,5209,4.446,0.953
967,7376983,K01358.01,5.644914154,356.73699,0.445,2.2599,1397.9,2.66,744,72.38,63.9,4769,4.622,0.714
970,11026304,K01420.01,13.35151248,363.086742,0.573,3.6045,3308.8,4.44,585,27.77,107.9,4843,4.562,0.754
971,11342550,K01421.01,1693.6636225,524.27995,0.5283,22.604,9515.3,10.23,157,0.14,122.8,5923,4.445,1.021
984,7376983,K01358.02,8.74292005,358.59286,0.025,2.6277,779.5,1.92,643,40.33,30.7,4769,4.622,0.714
985,7376983,K01358.03,3.64830183,355.39128,0.063,1.9985,371.7,1.33,860,129.44,19.9,4769,4.622,0.714
986,7376983,K01358.04,2.345863002,354.11185,0.035,1.6795,316.7,1.23,997,233.38,19.6,4769,4.622,0.714
987,6946199,K01359.01,37.1011418,370.4803,0.41,5.5556,1357.5,3.19,532,18.95,55.2,5986,4.527,0.85
988,6946199,K01359.02,104.8205868,374.83154,0.918,4.4794,3920.1,6.45,376,4.74,76.6,5986,4.527,0.85
1003,10867062,K01303.01,34.2966363,143.66728,0.711,19.718,696.6,3.29,584,27.6,66.7,5490,4.263,1.167
1005,4860678,K01602.01,9.97716876,137.2361,0.002,5.908,252.9,2.53,1028,263.89,21.8,5557,4.037,1.616
1010,9836959,K01715.01,105.0145774,228.94455,0.954,7.426,296,2.29,406,6.44,33.9,5868,4.363,1.042
1015,9823487,K01489.01,16.00460392,140.47981,0.49,3.9475,831.9,2.24,583,27.41,34.3,5180,4.597,0.769
1029,10015937,K01720.01,59.6585348,168.08764,0.956,5.514,1043.8,3.59,393,5.66,21.2,5243,4.547,0.831
1035,11821363,K01494.01,8.19596647,136.68736,0.252,2.824,792.8,2.04,672,48.2,20.2,4723,4.557,0.747
1054,11820830,K01728.01,12.7319385,138.73144,1.278,4.4157,11449,70.11,1145,405.75,69.9,7238,4.221,1.568
1057,9636135,K01498.02,2.42150341,133.83517,0.55,2.965,171.5,1.62,1532,1305.04,15.8,6213,4.387,1.195
1059,7841925,K01499.03,6.20920207,136.87938,0.272,2.637,101.9,0.89,914,164.98,12.1,5440,4.438,0.885
1062,5219234,K01563.03,3.20539622,354.63069,0.512,2.143,453.6,1.7,1000,236.11,20.6,5103,4.562,0.787
1064,6470149,K01230.01,165.739861,214.039466,0.263,24.9393,7343.4,57.54,692,54.1,527.8,5019,2.99,6.836
1068,4276716,K01619.01,20.6654374,132.01229,0.05,3.172,100.4,0.66,487,13.35,13.6,4830,4.605,0.676
1070,7287683,K01622.01,69.8347983,168.78436,0.672,8.262,266.6,3.51,765,80.97,46.8,7732,4.075,2.022
1072,8266276,K01731.01,2.59488443,132.75658,0.885,1.684,592.2,2.36,1014,249.92,14.9,4748,4.526,0.797
1086,6543893,K01627.02,5.93919041,353.75537,0.107,2.285,424.5,3.7,1357,801.92,15.9,6068,4.04,1.797
1090,4365645,K01738.01,4.16787814,135.28334,0.168,2.2136,168.1,1.07,962,202.48,32.9,5251,4.541,0.847
1091,7199906,K01739.01,220.65651253,172.4278591,,7.82,,,,,,,,
1093,7032421,K01747.01,20.55848388,133.00401,1.334,1.449,677.3,36.9,624,35.76,20.8,5578,4.484,0.936
1106,9017682,K01630.01,11.30507984,138.13638,0.195,3.989,278.4,1.4,744,72.67,19.5,5705,4.556,0.844
1110,10749128,K01639.02,9.9824036,133.44855,0.8093,1.09,83.9,1.17,966,205.65,5.4,6273,4.364,1.139
1111,11904734,K01764.01,12.681733929,132.682519,0.929,1.6866,5879.1,7.25,601,30.84,102.8,4976,4.577,0.701
