rowid,koi_disposition,isExoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
4013,FALSE POSITIVE,0,118.609553,172.0788,0.993,22.74,380.9,2.86,299,1.88,13.1,1,q1_q17_dr25_tce,5017,4.531,0.792,297.83713,42.079369,15.133
4014,CANDIDATE,1,1.62888267,132.33899,0.147,1.72,130.9,0.92,1327,733.67,12.5,1,q1_q17_dr25_tce,5398,4.571,0.811,299.27658,44.291981,15.295
4015,FALSE POSITIVE,0,0.616386349,131.64315,0.226,0.8136,79.4,2.94,3552,37463.63,21.9,1,q1_q17_dr25_tce,5665,3.58,3.266,299.41986,47.562832,12.985
4016,CANDIDATE,1,1.920062587,131.72678,0.387,1.437,226.8,1.12,1189,471.84,12.6,1,q1_q17_dr25_tce,5266,4.611,0.741,287.84,38.255489,15.686
4017,FALSE POSITIVE,0,88.91323139,145.6230854,,2.92,,,,,,,,,,,291.36188,49.02198,12.981
4018,FALSE POSITIVE,0,7.07162308,136.46253,0.331,2.587,123,1.42,1162,431.05,16.9,1,q1_q17_dr25_tce,6313,4.24,1.259,293.29227,38.2118,13.722
4019,CANDIDATE,1,6.96352699,133.01717,0.09,3.192,68.1,1.4,1298,669.78,17.4,1,q1_q17_dr25_tce,6040,3.978,1.686,296.10406,42.34259,13.128
4020,CONFIRMED,1,64.2729088,186.7353,0.908,12.136,1213.9,5.38,554,22.31,27.4,1,q1_q17_dr25_tce,6341,4.278,1.299,294.45569,46.743561,15.589
4021,CONFIRMED,1,3.4327371,132.92055,0.703,4.001,63.2,0.75,1134,390.57,15.3,1,q1_q17_dr25_tce,5757,4.536,0.881,288.57358,51.472752,13.583
4022,FALSE POSITIVE,0,13.8452726,136.9596,0.566,2.555,93.2,2.34,1276,626.93,10.4,1,q1_q17_dr25_tce,6845,3.89,2.324,292.47888,38.657921,12.632
4023,FALSE POSITIVE,0,0.566801617,131.80435,0.565,2.75,24.9,0.88,3018,19598.53,26.4,1,q1_q17_dr25_tce,6287,4.064,1.693,291.21338,42.625599,12.528
4024,CANDIDATE,1,0.909127736,132.40471,0.098,1.431,98.7,0.98,1818,2566.87,13.9,1,q1_q17_dr25_tce,5486,4.389,0.996,290.01245,41.089989,15.195
4025,FALSE POSITIVE,0,371.63327,296.9495,0.8185,14.92,107,1.83,316,2.36,15.2,,,5802,4.073,1.59,286.39584,43.075821,11.443
4026,CONFIRMED,1,1.450889836,132.2306,0.333,1.753,135.7,1.21,1700,1970.75,15.7,1,q1_q17_dr25_tce,6046,4.423,1.023,288.302,47.775551,15.369
4027,CONFIRMED,1,5.72716067,133.96409,0.447,2.23,310.9,1.4,794,93.96,16,3,q1_q17_dr25_tce,4838,4.524,0.796,285.17334,48.770039,15.311
4028,FALSE POSITIVE,0,407.59415,273.5955,0.0274,7.3,462.4,2.11,266,1.18,7.7,,,6198,4.402,0.974,291.69104,38.61499,14.854
4029,CANDIDATE,1,10.30148508,134.88185,0.445,3.903,162.7,1.6,934,180.14,12.6,3,q1_q17_dr25_tce,5887,4.292,1.235,293.98871,46.718021,15.147
4030,CANDIDATE,1,17.8007815,134.3839,0.928,6.547,44.5,1.02,816,105.04,14.2,1,q1_q17_dr25_tce,6240,4.326,1.252,289.01178,51.376019,12.018
4031,FALSE POSITIVE,0,358.101884,425.6837,0.5804,6.393,114,0.95,242,0.81,12.8,,,5786,4.526,0.856,295.07507,44.382992,11.678
4032,CANDIDATE,1,1.717859841,132.92612,0.35,0.908,66.3,1.45,2212,5645.85,9.5,1,q1_q17_dr25_tce,6694,4.084,1.732,290.81366,40.254875,13.228
4033,FALSE POSITIVE,0,46.0771501,143.6839655,,3.03,,,,,,,,,,,291.36188,49.02198,12.981
4034,FALSE POSITIVE,0,42.62423329,156.1855401,,1.47,,,,,,,,,,,291.36188,49.02198,12.981
4035,FALSE POSITIVE,0,0.447861451,131.9752,0.427,0.8541,265.4,1.42,2263,6221.08,20.3,1,q1_q17_dr25_tce,5901,4.553,0.848,294.48499,38.352859,15.497
4036,CANDIDATE,1,7.3422467,131.55382,0.253,2.029,366.8,1.6,837,115.93,11.8,1,q1_q17_dr25_tce,5573,4.562,0.839,295.21127,41.086971,15.486
4037,CANDIDATE,1,8.1134681,132.8253,0.454,4.961,40.5,0.92,1127,381.27,10.5,2,q1_q17_dr25_tce,6011,4.123,1.409,291.19507,40.702702,13.55
4038,CONFIRMED,1,3.036208739,134.06146,0.111,0.9324,1820.5,1.4,520,17.31,26,2,q1_q17_dr25_tce,3464,4.923,0.328,282.25021,44.921108,16.257
4039,CONFIRMED,1,18.0541469,147.7943,0.175,4.587,283.1,1.51,635,38.57,19.3,1,q1_q17_dr25_tce,5505,4.501,0.909,290.58612,46.642689,15.004
4040,CANDIDATE,1,5.4675514,133.42478,0.27,3.283,87.2,1.07,1078,319.36,10.4,2,q1_q17_dr25_tce,5557,4.288,1.151,288.58835,42.605659,14.746
4041,FALSE POSITIVE,0,1.01530474,131.517946,1.245,8.7622,16445,64.77,2324,6918.45,1823,1,q1_q17_dr25_tce,6428,4.226,1.44,295.88568,39.31599,13.647
4042,CANDIDATE,1,94.180473,200.2662,0.955,7.345,1104.4,4.17,478,12.34,15.6,1,q1_q17_dr25_tce,6997,4.475,1,293.20139,45.454399,14.848
4043,CONFIRMED,1,1.538185321,132.49067,0.7,1.683,277.2,1.29,1234,547.92,15.2,1,q1_q17_dr25_tce,5107,4.615,0.723,297.95297,40.806808,15.329
4044,FALSE POSITIVE,0,1.332567643,132.04299,0.642,4.284,56.7,0.62,1482,1143.87,24,1,q1_q17_dr25_tce,5687,4.582,0.79,295.22089,46.823879,14.15
4045,FALSE POSITIVE,0,1.089076495,132.02703,0.597,2.274,43.7,0.75,2016,3923.24,15.3,1,q1_q17_dr25_tce,6444,4.416,1.079,288.09009,46.322948,13.938
4046,FALSE POSITIVE,0,1.662710314,132.44469,0.577,1.83,85.9,2.16,2307,6700.6,23.8,1,q1_q17_dr25_tce,6028,3.842,2.244,296.20578,44.660446,13.97
4047,FALSE POSITIVE,0,0.888478095,131.86943,0.452,1.5312,340.4,1.51,1665,1825.96,24.6,1,q1_q17_dr25_tce,5553,4.577,0.806,291.06168,51.404781,15.85
4048,FALSE POSITIVE,0,2.18242002,132.39594,0.721,4.103,69.7,0.7,1283,638.12,13.8,1,q1_q17_dr25_tce,5808,4.583,0.786,293.42361,42.917641,14.897
4049,FALSE POSITIVE,0,0.503999678,131.631544,0.962,0.5421,975.6,2.97,1605,1566.41,96.8,1,q1_q17_dr25_tce,4898,4.686,0.568,293.95221,45.31826,15.498
4050,FALSE POSITIVE,0,2.66588544,131.6037,0.276,5.004,167,0.98,1041,278.03,17.2,1,q1_q17_dr25_tce,4965,4.536,0.771,291.98572,45.211441,15.382
4051,CANDIDATE,1,309.25581,136.2248,0.2875,10.72,421.4,2.18,287,1.61,9.9,,,6060,4.419,1.057,291.7005,37.843731,14.205
4052,CANDIDATE,1,2.44232399,133.53724,0.303,1.921,229,1.1,1029,264.82,14.1,1,q1_q17_dr25_tce,4849,4.561,0.738,291.51819,47.139301,15.849
4053,CONFIRMED,1,7.61758198,137.50008,0.234,3.545,85.4,1,1020,255.32,13.4,1,q1_q17_dr25_tce,6202,4.401,1.072,291.40781,48.017891,14.11
4054,FALSE POSITIVE,0,41.477908,144.9193,0.5122,10.45,29.9,1.09,849,122.73,9.6,,,6935,3.95,1.918,289.75626,39.57645,10.83
4055,CANDIDATE,1,42.1003351,143.02827,0.88,1.0834,214,1.42,466,11.17,13.9,1,q1_q17_dr25_tce,5595,4.57,0.82,282.12888,44.303162,11.965
4056,CONFIRMED,1,2.20923119,131.90288,0.11,2.392,59.8,0.84,1507,1217.79,14.3,1,q1_q17_dr25_tce,5991,4.375,1.092,285.51294,38.079739,13.764
4057,FALSE POSITIVE,0,260.54832,218.5525,0.378,15.52,161.6,1.35,318,2.43,10.2,,,6412,4.44,1.04,298.00357,48.56424,13.533
4058,FALSE POSITIVE,0,370.47678,307.4992,0.5386,15.69,656.2,2.37,252,0.96,11.8,,,6050,4.525,0.896,288.79703,42.1689,15.359
4059,CANDIDATE,1,5.88350251,136.9451,0.362,2.556,217.7,1.27,949,192.09,11.9,1,q1_q17_dr25_tce,5840,4.553,0.849,298.00293,43.35461,15.741
4060,FALSE POSITIVE,0,0.662457501,131.90556,1.024,1.527,64.1,8.3,3295,27795.08,13.5,2,q1_q17_dr25_tce,6425,3.862,2.16,296.2478,44.07679,12.721
4061,FALSE POSITIVE,0,1.33258458,132.03624,0.422,3.222,127,1.25,1868,2873.72,14.4,1,q1_q17_dr25_tce,6384,4.419,1.086,294.7005,46.573132,15.865
4062,FALSE POSITIVE,0,1.182862515,131.97137,0.284,2.928,22.3,1.26,2800,14544.87,16.5,1,q1_q17_dr25_tce,6017,3.699,2.639,283.85291,45.48526,12.638
4063,CONFIRMED,1,0.539915033,131.55207,0.291,1.1466,97,0.82,1871,2901.68,17.6,1,q1_q17_dr25_tce,5102,4.502,0.837,283.58762,40.574928,14.311
4064,FALSE POSITIVE,0,372.54353,137.9147,1.7826,21.83,1106,74.14,226,0.62,11.9,,,5561,4.557,0.836,291.79666,47.385929,15.662
4065,CANDIDATE,1,2.20829637,131.63091,0.205,2.841,87.9,1.36,1709,2016.25,12,1,q1_q17_dr25_tce,6028,4.189,1.454,293.5423,43.0261,15.201
4066,CONFIRMED,1,0.849906734,131.6741,0.64,1.141,124.3,0.59,1139,396.64,12,1,q1_q17_dr25_tce,4296,4.733,0.505,293.28802,43.514992,15.22
4067,CANDIDATE,1,26.6565737,131.59433,0.686,4.954,163.4,4.15,903,157.45,18.8,1,q1_q17_dr25_tce,5159,3.604,3.062,293.79684,45.160728,13.263
4068,FALSE POSITIVE,0,4.4408541,135.2744,0.005,8.083,33.9,1.74,1642,1719.2,12,2,q1_q17_dr25_tce,5159,3.604,3.062,293.79684,45.160728,13.263
4069,FALSE POSITIVE,0,373.72257,178.1825,1.5922,14.21,470.9,67.13,262,1.11,9.6,,,6004,4.45,1.008,286.53278,44.554569,14.808
4070,CONFIRMED,1,8.18504859,134.554,0.601,4.673,97.6,0.93,892,149.41,12.5,1,q1_q17_dr25_tce,5984,4.521,0.906,296.51666,44.608608,14.686
4071,FALSE POSITIVE,0,10.78438513,141.40685,1.18,1.408,233.6,75.04,1397,900.7,15.6,1,q1_q17_dr25_tce,5575,3.516,3.515,299.20667,45.64547,13.638
4072,CONFIRMED,1,10.42317343,135.15208,0.811,2.341,71.2,1.07,901,155.7,11.2,2,q1_q17_dr25_tce,5767,4.287,1.135,288.66077,43.36808,13.455
4073,FALSE POSITIVE,0,0.566804221,131.82656,0.536,4.639,166,0.85,1737,2149.42,31,1,q1_q17_dr25_tce,5277,4.625,0.64,291.58682,42.827621,15.776
4074,FALSE POSITIVE,0,2.022658,131.838,0.419,3.343,135.7,1.15,1482,1139.1,17.4,1,q1_q17_dr25_tce,6091,4.487,0.967,293.6228,41.966492,15.572
