"rowid","kepid","koi_disposition","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_tce_plnt_num","koi_tce_delivname","koi_steff","koi_slogg","koi_srad","ra","dec","koi_kepmag","predict","p0","p1"
391,1161345,"CANDIDATE",4.2874666800000005,262.06245,0.374,1.5693000000000001,790.1,2.29,942,186.31,19.400000000000002,1,"q1_q17_dr25_tce",5296,4.5760000000000005,0.8150000000000001,291.0488,36.839881999999996,11.631,"1",0.3435114455595436,0.6564885544404564
403,2853446,"CANDIDATE",7.37290344,137.60990999999999,0.993,2.172,205.20000000000002,2.67,1004,240.11,19.1,1,"q1_q17_dr25_tce",5973,4.371,1.07,291.65097000000003,38.028179,13.835,"0",0.6421415391226054,0.3578584608773946
405,3942446,"CANDIDATE",119.06248819999999,149.22223,0.9680000000000001,3.1188000000000002,5372.3,10.4,366,4.26,71.60000000000001,1,"q1_q17_dr25_tce",5697,4.392,0.92,287.88812,39.078708999999996,15.289,"0",0.6502630473431155,0.3497369526568846
416,6124941,"CANDIDATE",5.670155713000001,136.201739,1.2670000000000001,0.9361,536.7,5.8500000000000005,341,3.21,37.300000000000004,1,"q1_q17_dr25_tce",3337,5.126,0.183,292.26181,41.442554,13.783,"1",0.5682185099008259,0.4317814900991741
429,4061149,"CANDIDATE",2.757584622,133.05016999999998,0.093,0.9267000000000001,563.1,1.01,615,33.79,19.6,1,"q1_q17_dr25_tce",3683,4.84,0.424,292.57703000000004,39.12088,15.597,"1",0.22472565494744157,0.7752743450525584
433,10743597,"CANDIDATE",16.15811112,143.00233,1.8572000000000002,6.049,2319.8,86.13,660,44.83,52.800000000000004,1,"q1_q17_dr24_tce",5619,4.5360000000000005,0.874,296.38229,48.045311,15.488,"0",0.9973384770157795,0.002661522984220455
443,8218274,"CANDIDATE",1.187352427,133.465454,1.222,4.9990000000000006,20703.0,67.35,2251,6067.3,717.4000000000001,1,"q1_q17_dr25_tce",6424,4.186,1.489,285.06335,44.167885,13.623000000000001,"0",0.9965890169270064,0.0034109830729936123
453,3859628,"CANDIDATE",8.17242644,361.20157,0.926,3.902,864.3000000000001,3.29,858,127.95,37.0,1,"q1_q17_dr25_tce",5705,4.499,0.905,293.87363000000005,38.922481999999995,15.24,"1",0.6050276183755747,0.39497238162442533
454,3644071,"CANDIDATE",1295.3622149999999,176.10646,1.3935,28.297,8708.0,57.82,169,0.19,164.0,,,5609,4.346,1.048,291.03217,38.703911,14.215,"0",0.9999999982683394,1.7316606364300326E-9
456,1431122,"CANDIDATE",4.2989201,132.86186999999998,0.9720000000000001,2.7470000000000003,237.60000000000002,2.12,1046,283.62,20.0,1,"q1_q17_dr25_tce",5300,4.385,0.986,291.14249,37.061321,14.613,"0",0.6874865903326186,0.31251340966738134
462,8260218,"CANDIDATE",5.714817603,355.00831,0.096,3.1412600000000004,12295.0,9.290000000000001,943,187.27,537.7,1,"q1_q17_dr25_tce",5695,4.526,0.842,299.78632000000005,44.16954,15.623000000000001,"1",0.5684426102510897,0.43155738974891034
467,6359320,"CANDIDATE",2.83668931,353.81531,0.33,3.031,166.10000000000002,1.19,1242,562.48,12.100000000000001,3,"q1_q17_dr25_tce",5831,4.517,0.921,290.21518000000003,41.77597,15.808,"1",0.21081109391473107,0.7891889060852689
477,3447722,"CANDIDATE",1.00861677,132.109479,,0.91,,,,,,,,,,,292.47971,38.514919,15.319,"0",0.9913257855660954,0.008674214433904558
484,12105051,"CANDIDATE",2.624234833,132.30498799999998,0.781,1.3874000000000002,2607.0,5.11,1164,434.31,361.1,1,"q1_q17_dr25_tce",5340,4.514,0.899,288.03830000000005,50.651610999999995,13.687000000000001,"1",0.384645550200464,0.615354449799536
487,8240904,"CANDIDATE",92.77779000000001,367.6112,0.017400000000000002,6.640000000000001,359.0,1.92,410,6.7,5.2,,,5888,4.444,1.0190000000000001,294.48438000000004,44.166908,15.59,"1",0.17900862620980473,0.8209913737901953
498,3756801,"CANDIDATE",422.91767799999997,448.49647999999996,0.7887000000000001,31.274,1367.7,5.89,292,1.73,61.7,,,5796,4.12,1.444,293.95459,38.899971,13.642,"0",0.9982582169346966,0.0017417830653033877
508,10232123,"CANDIDATE",1.3437677970000002,133.275862,0.891,1.9405000000000001,4702.6,18.66,2654,11675.380000000001,269.8,1,"q1_q17_dr25_tce",6324,3.8000000000000003,2.312,299.70078,47.291751999999995,13.056000000000001,"0",0.9908810668921173,0.009118933107882688
512,8397675,"CANDIDATE",0.553261874,133.446605,1.246,0.8875000000000001,1038.1000000000001,97.36,3689,43709.08,202.20000000000002,1,"q1_q17_dr25_tce",5679,3.565,3.142,301.47577,44.319759,13.501,"0",0.9997347896720498,2.652103279502492E-4
536,8313667,"CANDIDATE",30.587215299999997,162.8842,0.013000000000000001,5.369800000000001,464.8,2.32,621,35.08,33.1,1,"q1_q17_dr25_tce",5944,4.38,1.082,296.54861,44.264671,14.143,"1",0.17691507961247988,0.8230849203875201
540,9595686,"CANDIDATE",3.108251172,170.244566,0.9,2.5048000000000004,1867.7,4.43,1096,340.69,156.5,1,"q1_q17_dr25_tce",5330,4.495,0.847,294.79974000000004,46.207569,15.361,"0",0.6632151582273016,0.33678484177269846
